Rank,App Name,App Package Name,Subgenre,Downloads,Cumulative Downloads,Paid Downloads,Organic Downloads,Active Users,Install Base,Avg Session per User,Avg Session Duration,Avg time per User,Avg Active Days,gender,Tier
122,Lojas Pompéia – Moda Fashion,pompeia.com.br.pompia,E-Commerce (Retailer),57942,733660,31885,26057,44355,136963,6.75,00:00:42,00:04:49,2.63,mulheres,tres
123,Caedu,br.com.finners.marketpay.caedu,Coupons & Rewards,57818,780589,35243,22575,46227,289594,5.45,00:01:27,00:07:56,2.84,mulheres,tres
126,Kanui: Compre Tênis e Roupa de,br.com.kanui,E-Commerce (B2C),56211,9223761,13706,42505,125191,1163011,8.83,00:01:49,00:16:04,2.76,homens,tres
127,Gazin: Compras Online,com.b2capp,E-Commerce (Retailer),54639,565512,32970,21669,13416,102470,5.84,00:01:23,00:08:05,2.2,homens,dois
128,Facily: Compra Online e Oferta,com.facily,E-Commerce (C2C),53942,16878787,16771,37171,2851132,6971108,34.62,00:01:38,00:56:45,6.19,mulheres,Quatro
129,SEPHORA,latam.sephora.sephorabr,E-Commerce (Retailer),53016,215253,0,53016,29377,103706,19.35,00:00:51,00:16:45,4.16,mulheres,dois
130,Shopping List - SoftList,br.com.ridsoftware.shoppinglist,Other Shopping,51780,1722256,0,51780,184274,902662,34.99,00:01:26,00:50:30,4.21,mulheres,tres
131,Shopping List - Simple & Easy,com.icedblueberry.shoppinglisteasy,Other Shopping,48863,272696,18331,30532,48657,89446,15.23,00:00:55,00:14:03,3.89,mulheres,tres
132,Lojas Colombo,br.com.colombo.app,E-Commerce (Retailer),48745,646644,29149,19596,2097,129248,3.7,00:00:01,00:00:05,2.16,homens,unico
133,Minas Cap,com.minascap.app,E-Commerce (Retailer),48412,807217,21385,27027,44819,266935,7.42,00:02:11,00:16:12,3.64,homens,tres
136,Armazém PB: Compras Online,br.com.mobile.armazempb,E-Commerce (B2C),45316,869441,26182,19134,7402,75675,5.42,00:01:04,00:05:48,2.54,mulheres,unico
137,ZZ MALL,br.com.arezzoco.marketplacezz,E-Commerce (B2C),45284,478285,27564,17720,4284,65186,7.1,00:02:04,00:14:41,1.95,mulheres,unico
138,Compras Paraguai,br.com.mobileasy.comprasparaguai,Other Shopping,45231,1537374,26955,18276,51281,363991,9.23,00:01:18,00:12:01,3.33,homens,tres
139,App Romance,br.com.romancemoda.photobook,E-Commerce (C2C),44806,658810,26671,18135,7397,43098,12.61,00:00:39,00:08:18,3.27,mulheres,unico
140,Muni: ¡Ganar dinero extra!,com.muni.android,Other Shopping,43695,359806,28154,15541,18225,105467,15.14,00:01:05,00:16:34,2.72,homens,dois
141,Gira: Atacado de Roupas Online,com.canaldstak,Resell,41570,628184,0,41570,40937,74927,14.09,00:01:21,00:19:11,2.33,mulheres,tres
142,Multilaser: Loja Online,penseavanti.com.br.app2shop_multilaser,E-Commerce (Retailer),41400,191819,22319,19081,6602,176906,7.24,00:01:04,00:07:44,2.3,homens,unico
143,Ri Happy,br.com.rihappy.meusolzinho,E-Commerce (B2C),40957,190994,24288,16669,15966,114492,5.08,00:01:40,00:08:31,1.65,homens,dois
144,VirtusPay Boleto Parcelado,com.virtuspay.virtus_app_tomador,BNPL,40836,3252787,0,40836,82967,978631,7.15,00:00:48,00:05:47,1.77,homens,tres
145,Mimoo,dev.mimoo.mobile,E-Commerce (Retailer),40441,455503,23338,17103,41470,201005,22.93,00:01:01,00:23:32,3.86,mulheres,tres
147,DHgate-online wholesale stores,com.dhgate.buyermob,Other Shopping,40284,1006135,18589,21695,5635,184180,5.03,00:01:47,00:09:00,1.91,homens,unico
148,Pelando: promoções e cupons,com.tippingcanoe.pelando,Coupons & Rewards,39663,1595668,23470,16193,390751,1540408,59.23,00:00:51,00:50:28,10.14,homens,Quatro
149,Zee.Now - Pet Shop Delivery,br.com.zeenow.zeenow,E-Commerce (B2C),39305,539224,23309,15996,46660,317478,7.35,00:01:15,00:09:16,2.44,mulheres,tres
150,Gelt: Ganar dinero desde casa,com.mdfactory.gelt,Coupons & Rewards,37990,830400,132,37858,41720,328403,8.29,00:01:35,00:13:13,3.04,mulheres,tres
151,Carajás,carajas.carajas,E-Commerce (Retailer),37537,317611,19439,18098,11503,91055,8.4,00:02:45,00:23:08,3.12,mulheres,unico
152,FARFETCH — Designer Shopping,com.farfetch.farfetchshop,E-Commerce (Retailer),37136,534196,21861,15275,7112,104842,4.28,00:01:33,00:06:38,1.92,homens,unico
153,Aramis Loja de Roupa Masculina,com.mobfiq.aramis,E-Commerce (Retailer),36763,106151,15682,21081,9813,54063,3.86,00:02:04,00:08:02,1.42,homens,unico
154,FutFanatics,com.futfanatics,E-Commerce (Retailer),36618,678089,20659,15959,38114,242029,6.54,00:01:47,00:11:44,2.51,homens,dois
155,Grocery Shopping List Listonic,com.l,Coupons & Rewards,35277,854507,7236,28041,70193,432904,20.44,00:01:35,00:32:23,4.27,mulheres,tres
156,soccer jersey screen printing ,com.desinsablonjerseysepakbola.alularestu,E-Commerce (Retailer),34051,124952,0,34051,27115,27339,2.81,00:00:16,00:00:45,1.44,homens,dois
157,Funcional Card,br.com.funcional.beneficiario,E-Commerce (Retailer),33698,189779,0,33698,25672,170222,9.45,00:00:30,00:04:50,2.69,mulheres,dois
158,Vendah | Renda extra online,br.com.vendah.app,Resell,33478,89229,18620,14858,13155,21520,1,00:00:52,00:00:52,0.96,homens,unico
160,Babadotop: Moda e Beleza,com.mobfiq.babadotop,E-Commerce (Retailer),32826,234605,0,32826,4587,60181,21.89,00:03:47,01:22:52,4.92,mulheres,unico
162,Lojas Lebes,br.com.lebes.app,E-Commerce (Retailer),32142,458864,18300,13842,23046,83162,7.16,00:00:50,00:05:59,2.43,homens,dois
163,Dinerama: Cashback no Mercado,br.com.dinerama,Coupons & Rewards,31580,36325,21535,10045,83198,84782,7.57,00:00:46,00:05:54,4.15,mulheres,tres
164,"Buscar Rural - Comprar, vender",br.com.buscar.rural,Resell,31310,1213381,18009,13301,7270,78823,2.74,00:02:29,00:06:51,1.76,mulheres,unico
165,Martinello,com.martinello.martinello,E-Commerce (Retailer),30968,287490,18000,12968,10885,34940,10.42,00:01:03,00:11:02,2.92,homens,unico
169,Mateus App,com.ithappens.maismateus,E-Commerce (Retailer),29334,1625366,17004,12330,19958,133491,8.35,00:00:32,00:04:34,1.92,homens,dois
170,Avon Compras Online,com.avoncomprasonline,E-Commerce (Retailer),28784,84712,3136,25648,5230,12632,7.08,00:01:53,00:13:24,2.88,mulheres,unico
171,Megamania Cap,com.ideamaker.megamania,E-Commerce (B2C),28558,331662,16836,11722,45184,171803,10.35,00:00:57,00:09:54,4.1,mulheres,tres
172,DeMillus,br.com.demillus.www.portalrevendedora,E-Commerce (Retailer),27787,749347,15708,12079,46672,102053,10.72,00:02:29,00:26:44,3.77,mulheres,tres
173,Lojas Quero-Quero,br.com.queroquero.ecommerce,E-Commerce (Retailer),27717,408723,16445,11272,10841,44156,2.74,00:01:09,00:03:12,1.48,homens,unico
174,Kalunga,com.kalunga.app,E-Commerce (Retailer),26628,276349,0,26628,25806,273627,6.28,00:02:33,00:16:06,2.19,mulheres,dois
175,Bônuscred para Clientes,br.com.bonuscred,E-Commerce (Retailer),26301,274375,15231,11070,14714,40039,11.38,00:00:23,00:04:23,4.23,homens,dois
