,App Package Name,Reviews Content,Rating,Ranking,review_processed
16926,com.shopee.br,Muito boa,5,Second,muito boa
16927,com.shopee.br,Ótimo app,5,Second,ótimo app
16928,com.shopee.br,"Ótimo,e sempre que tive problemas com as compras eu fui reembolsada 😉",5,Second,"ótimo, sempr problema compra reembolsada 😉"
16929,com.shopee.br,"Estou viciada, amo comprar na shopee",5,Second,"estou viciada, amo comprar shope"
16930,com.shopee.br,Já comprei várias itens e não tive problema com nenhum.,4,Second,já comprei vária iten problema nenhum.
16931,com.shopee.br,Ótimo preço promoção muito boa ótimo atendimento para quem sabe mexer,5,Second,ótimo preço promoção boa ótimo atendimento sabe mexer
16932,com.shopee.br,Amo fazer compras no Shopee.Odeio quando a loja cancela meu pedido .,5,Second,amo fazer compra shopee.odeio loja cancela pedido .
16933,com.shopee.br,Não tenho oq reclamar,5,Second,não oq reclamar
16934,com.shopee.br,Top o melhor que tá tendo,5,Second,top melhor tá tendo
16935,com.shopee.br,Muito bom e pratico,5,Second,muito bom pratico
16936,com.shopee.br,Muiito bomm,5,Second,muiito bomm
16937,com.shopee.br,"O aplicativo é travado demais, as vezes até desisto de ver os produtos pela demora em carregar",3,Second,"o aplicativo travado demais, veze desisto ver produto demora carregar"
16938,com.shopee.br,"Estou muito chateada por comprar um produto e veio outro, e ainda com defeito. Tentando entrar em contato com o vendedor e nada de resposta. Além de pagar o valor mas impostos do produto, irei ficar no prejuízo?",2,Second,"estou chateada comprar produto veio outro, ainda defeito. tentando entrar contato vendedor nada resposta. além pagar valor imposto produto, irei ficar prejuízo?"
16939,com.shopee.br,"Para compra é muito bom, mais no caso de devolução e reembolso é péssimo, no meu caso o vendedor mandou o produto errado e pede o reembolso, mandei o produto na data correta e não recebi o reembolso. Fiquei sem o produto e sem o dinheiro. Shopee nunca mais...",1,Second,"para compra bom, caso devolução reembolso péssimo, caso vendedor mandou produto errado pede reembolso, mandei produto data correta recebi reembolso. fiquei produto dinheiro. shope nunca mais..."
