Date,Aplicativo_Rank,Advertiser App Name,Advertiser App Package Name,Ad Platforms,Apps Seen In,Creatives,Paid Downloads,investimento_cpi,est_numero_anuncios
Sep 22,57,CASA & VIDEO,com.root.casaevideov3.Activities,3,3,42,88638,198549.12,126
Jul 22,49,"Dafiti: roupas, sapatos, decor",br.com.dafiti,4,2,4631,80098,179419.52,9262
Aug 22,49,"Dafiti: roupas, sapatos, decor",br.com.dafiti,3,29,4791,80098,179419.52,138939
Sep 22,49,"Dafiti: roupas, sapatos, decor",br.com.dafiti,6,18,3510,80098,179419.52,63180
Aug 22,52,Cuponomia: Cupons e Cashback,com.cuponomia,2,2,3,79389,177831.36,6
Sep 22,52,Cuponomia: Cupons e Cashback,com.cuponomia,3,6,4,79389,177831.36,24
Jul 22,72,Promobit: Promoções e Cupons,br.com.promobit.app,2,2,33,74402,166660.48,66
Aug 22,72,Promobit: Promoções e Cupons,br.com.promobit.app,4,2,130,74402,166660.48,260
Sep 22,72,Promobit: Promoções e Cupons,br.com.promobit.app,4,2,128,74402,166660.48,256
Sep 22,83,Catálogos Hiroshima - HiroApp,com.hiro.hiroapp.hiroshimasd,1,1,2,73707,165103.68,2
Jul 22,90,Panvel Farmácia e Perfumaria,br.com.dimed.panvel,3,2,35,67584,151388.16,70
Aug 22,90,Panvel Farmácia e Perfumaria,br.com.dimed.panvel,5,5,30,67584,151388.16,150
Sep 22,90,Panvel Farmácia e Perfumaria,br.com.dimed.panvel,4,2,47,67584,151388.16,94
Jul 22,89,Clube Extra,br.com.clubeextra,3,2,4,66366,148659.84,8
Aug 22,89,Clube Extra,br.com.clubeextra,5,5,16,66366,148659.84,80
Sep 22,89,Clube Extra,br.com.clubeextra,2,9,9,66366,148659.84,81
Jul 22,82,Farmácias APP: Drogaria online,com.pharmacysa.farmaciasapp,4,2,15,65912,147642.88,30
Aug 22,82,Farmácias APP: Drogaria online,com.pharmacysa.farmaciasapp,4,2,34,65912,147642.88,68
Sep 22,82,Farmácias APP: Drogaria online,com.pharmacysa.farmaciasapp,4,2,20,65912,147642.88,40
Jul 22,92,Banggood - Online Shopping,com.banggood.client,5,92,4072,65106,145837.44,374624
Aug 22,92,Banggood - Online Shopping,com.banggood.client,6,25,4036,65106,145837.44,100900
Sep 22,92,Banggood - Online Shopping,com.banggood.client,7,18,3122,65106,145837.44,56196
Jul 22,98,AMARO: Comprar Moda e Beleza,amaro.amaroandroid,5,16,1075,59380,133011.2,17200
Aug 22,98,AMARO: Comprar Moda e Beleza,amaro.amaroandroid,5,151,1684,59380,133011.2,254284
Sep 22,98,AMARO: Comprar Moda e Beleza,amaro.amaroandroid,6,92,3086,59380,133011.2,283912
Aug 22,65,Loja do Mecânico,br.com.gurgelmix.lojadomecanico_app,2,6,4,58822,131761.28,24
Sep 22,65,Loja do Mecânico,br.com.gurgelmix.lojadomecanico_app,2,8,3,58822,131761.28,24
Jul 22,85,SCHUTZ,br.com.arezzo.schutz,6,24,36,57184,128092.16,864
Aug 22,85,SCHUTZ,br.com.arezzo.schutz,3,7,14,57184,128092.16,98
Sep 22,85,SCHUTZ,br.com.arezzo.schutz,4,59,74,57184,128092.16,4366
Jul 22,77,Multi: Descontos nos Shoppings,br.com.multiplan.mind.multishopping,2,2,2,56175,125832,4
Aug 22,77,Multi: Descontos nos Shoppings,br.com.multiplan.mind.multishopping,1,1,1,56175,125832,1
Jul 22,96,Tricae - Loja Online de Roupas,br.com.tricae,1,1,412,55303,123878.72,412
Aug 22,96,Tricae - Loja Online de Roupas,br.com.tricae,3,2,458,55303,123878.72,916
Sep 22,96,Tricae - Loja Online de Roupas,br.com.tricae,3,2,223,55303,123878.72,446
Jul 22,73,Singu - Delivery de beleza e b,br.com.singu,3,2,16,53337,119474.88,32
Aug 22,73,Singu - Delivery de beleza e b,br.com.singu,2,2,7,53337,119474.88,14
Sep 22,73,Singu - Delivery de beleza e b,br.com.singu,4,2,7,53337,119474.88,14
Jul 22,87,Lojas Torra - Compre online,br.com.app.torra,2,2,13,47428,106238.72,26
Aug 22,87,Lojas Torra - Compre online,br.com.app.torra,2,2,24,47428,106238.72,48
Sep 22,87,Lojas Torra - Compre online,br.com.app.torra,2,2,23,47428,106238.72,46
Jul 22,104,Made-in-China B2B Trade Online,com.madeinchina.b2b.trade,1,66,4,46299,103709.76,264
Aug 22,104,Made-in-China B2B Trade Online,com.madeinchina.b2b.trade,1,239,5,46299,103709.76,1195
Sep 22,104,Made-in-China B2B Trade Online,com.madeinchina.b2b.trade,1,118,4,46299,103709.76,472
Jul 22,101,eBay Shop: Buying & Selling,com.ebay.mobile,1,32,4,45770,102524.8,128
Aug 22,101,eBay Shop: Buying & Selling,com.ebay.mobile,1,60,4,45770,102524.8,240
Sep 22,101,eBay Shop: Buying & Selling,com.ebay.mobile,1,14,3,45770,102524.8,42
Aug 22,100,Anacapri,br.com.anacapri,3,8,11,42873,96035.52,88
Sep 22,100,Anacapri,br.com.anacapri,4,4,13,42873,96035.52,52
Sep 22,109,Sodimac: Hogar y Construcción,cl.sodimac,1,1,1,38758,86817.92,1
Jul 22,86,Tenda Atacado,com.root.tendadrive.Activities,1,1,1,37923,84947.52,1
Jul 22,113,iHerb,com.iherb,2,2,269,36673,82147.52,538
Aug 22,113,iHerb,com.iherb,2,3,542,36673,82147.52,1626
Sep 22,113,iHerb,com.iherb,2,6,537,36673,82147.52,3222
Jul 22,93,hibobi-Kids Fashion Online,com.hibobi.store,3,2,13,35774,80133.76,26
Aug 22,93,hibobi-Kids Fashion Online,com.hibobi.store,4,2,58,35774,80133.76,116
Sep 22,93,hibobi-Kids Fashion Online,com.hibobi.store,4,2,1001,35774,80133.76,2002
Sep 22,115,Drogaria Araujo,com.araujo.araujoapp,1,1,1,35698,79963.52,1
Jul 22,102,Mobly Decorações de M Maneiras,com.mobly,4,2,677,34707,77743.68,1354
Aug 22,102,Mobly Decorações de M Maneiras,com.mobly,4,2,781,34707,77743.68,1562
Sep 22,102,Mobly Decorações de M Maneiras,com.mobly,4,2,300,34707,77743.68,600
Aug 22,127,Gazin: Compras Online,com.b2capp,2,2,4,32970,73852.8,8
Sep 22,127,Gazin: Compras Online,com.b2capp,2,2,3,32970,73852.8,6
Jul 22,122,Lojas Pompéia – Moda Fashion,pompeia.com.br.pompia,1,1,1,31885,71422.4,1
Aug 22,122,Lojas Pompéia – Moda Fashion,pompeia.com.br.pompia,2,2,2,31885,71422.4,4
Jul 22,140,Muni: ¡Ganar dinero extra!,com.muni.android,2,2,5,28154,63064.96,10
Aug 22,140,Muni: ¡Ganar dinero extra!,com.muni.android,2,2,8,28154,63064.96,16
Sep 22,140,Muni: ¡Ganar dinero extra!,com.muni.android,3,6,17,28154,63064.96,102
Jul 22,137,ZZ MALL,br.com.arezzoco.marketplacezz,4,2,19,27564,61743.36,38
Aug 22,137,ZZ MALL,br.com.arezzoco.marketplacezz,4,2,9,27564,61743.36,18
Sep 22,137,ZZ MALL,br.com.arezzoco.marketplacezz,2,2,7,27564,61743.36,14
Jul 22,149,Zee.Now - Pet Shop Delivery,br.com.zeenow.zeenow,5,7,105,23309,52212.16,735
Aug 22,149,Zee.Now - Pet Shop Delivery,br.com.zeenow.zeenow,4,2,62,23309,52212.16,124
Sep 22,149,Zee.Now - Pet Shop Delivery,br.com.zeenow.zeenow,3,2,64,23309,52212.16,128
Jul 22,152,FARFETCH — Designer Shopping,com.farfetch.farfetchshop,2,2,907,21861,48968.64,1814
Aug 22,152,FARFETCH — Designer Shopping,com.farfetch.farfetchshop,2,2,514,21861,48968.64,1028
Sep 22,152,FARFETCH — Designer Shopping,com.farfetch.farfetchshop,3,4,288,21861,48968.64,1152
Jul 22,154,FutFanatics,com.futfanatics,2,2,6,20659,46276.16,12
Aug 22,154,FutFanatics,com.futfanatics,2,2,8,20659,46276.16,16
Sep 22,154,FutFanatics,com.futfanatics,3,3,8,20659,46276.16,24
Jul 22,147,DHgate-online wholesale stores,com.dhgate.buyermob,4,2,118,18589,41639.36,236
Aug 22,147,DHgate-online wholesale stores,com.dhgate.buyermob,4,2,92,18589,41639.36,184
Sep 22,147,DHgate-online wholesale stores,com.dhgate.buyermob,4,2,58,18589,41639.36,116
Jul 22,164,"Buscar Rural - Comprar, vender",br.com.buscar.rural,2,2,23,18009,40340.16,46
Aug 22,164,"Buscar Rural - Comprar, vender",br.com.buscar.rural,4,2,13,18009,40340.16,26
Sep 22,164,"Buscar Rural - Comprar, vender",br.com.buscar.rural,3,2,31,18009,40340.16,62
Jul 22,171,Megamania Cap,com.ideamaker.megamania,2,2,14,16836,37712.64,28
Aug 22,171,Megamania Cap,com.ideamaker.megamania,4,2,28,16836,37712.64,56
Sep 22,171,Megamania Cap,com.ideamaker.megamania,3,2,22,16836,37712.64,44
Jul 22,128,Facily: Compra Online e Oferta,com.facily,5,8,341,16771,37567.04,2728
Aug 22,128,Facily: Compra Online e Oferta,com.facily,5,3,640,16771,37567.04,1920
Sep 22,128,Facily: Compra Online e Oferta,com.facily,6,89,1628,16771,37567.04,144892
Jul 22,179,LightInTheBox Online Shopping,com.lightinthebox.android,2,2,2,14653,32822.72,4
Aug 22,179,LightInTheBox Online Shopping,com.lightinthebox.android,1,1,1,14653,32822.72,1
Sep 22,179,LightInTheBox Online Shopping,com.lightinthebox.android,2,7,8,14653,32822.72,56
Jul 22,126,Kanui: Compre Tênis e Roupa de,br.com.kanui,2,2,600,13706,30701.44,1200
Aug 22,126,Kanui: Compre Tênis e Roupa de,br.com.kanui,2,2,584,13706,30701.44,1168
Sep 22,126,Kanui: Compre Tênis e Roupa de,br.com.kanui,2,2,265,13706,30701.44,530
Jul 22,178,AiHelper: Sales and Parcels,com.xyz.alihelper,2,2,85,13637,30546.88,170
Aug 22,178,AiHelper: Sales and Parcels,com.xyz.alihelper,5,3,164,13637,30546.88,492
Sep 22,178,AiHelper: Sales and Parcels,com.xyz.alihelper,2,2,153,13637,30546.88,306
Jul 22,194,Natal Cap,com.ideamaker.natalcap,4,2,26,12256,27453.44,52
Aug 22,194,Natal Cap,com.ideamaker.natalcap,1,1,28,12256,27453.44,28
Sep 22,194,Natal Cap,com.ideamaker.natalcap,2,2,11,12256,27453.44,22
